CT,EPAD,EPAN,EWAD,EWAN,EMAD,EMAN
100500,1301,156,750,222,551,39
101100,1170,228,653,279,517,77
101400,1960,306,1081,379,879,111
101600,633,57,370,67,263,16
101700,844,130,501,146,343,47
101800,1589,265,894,353,695,85
10300,614,147,276,105,338,86
110200,2160,358,1194,459,966,124
110600,1576,220,869,316,707,58
111300,1339,194,784,221,555,69
111400,749,87,406,97,343,31
111500,1764,268,1056,337,708,83
120300,894,113,544,136,350,28
120400,441,56,254,70,187,16
120700,417,47,242,57,175,14
120800,396,64,236,84,160,17
130100,1148,122,712,157,436,31
130200,662,70,413,90,249,17
130300,750,91,443,125,307,20
130400,631,70,375,87,256,18
130600,2040,194,1238,255,802,47
140100,1490,217,777,281,713,75
140200,1011,170,517,216,494,62
140300,2072,367,1097,468,975,133
140400,1572,246,813,300,759,95
140500,992,145,562,184,430,51
140600,1959,312,1059,417,900,100
140800,2887,461,1491,564,1396,179
141000,608,97,337,120,271,37
141100,879,153,464,205,415,49
141300,2472,432,1312,496,1160,183
141400,3333,579,1746,746,1587,204
151600,1463,251,784,340,679,78
151700,2820,519,1521,678,1299,176
160800,1218,222,636,247,582,94
160900,1004,173,543,227,461,56
170200,1408,256,713,297,695,96
170600,798,143,412,186,386,41
180300,1313,239,765,309,548,61
180700,1037,155,561,190,476,53
190300,900,134,514,175,386,45
191100,1224,211,657,245,567,82
191400,1223,267,660,337,563,90
191500,994,199,529,226,465,74
191600,2283,379,1206,475,1077,129
191700,1937,327,1059,432,878,100
191800,3111,574,1744,759,1367,177
191900,1207,216,658,281,549,71
192000,1937,342,1034,452,903,103
20100,5438,934,2759,785,2679,387
202200,1512,196,846,249,666,60
202300,2099,360,1151,455,948,126
20300,382,49,191,70,191,14
210700,1108,140,644,167,464,43
220600,789,117,394,111,395,57
240600,1433,227,719,237,714,91
241200,515,89,279,107,236,29
250300,642,91,335,84,307,42
250700,441,61,263,66,178,16
250900,758,95,462,99,296,35
260200,1225,194,657,223,568,69
260700,992,149,535,167,457,55
