Cohort Year,Cohort Category,Demographic,# Total Cohort,# Total Grads,% of cohort Total Grads,# of cohort Total Grads,% of cohort Total Regents,% of grads  Total Regents,# of grads  Total Regents,% of cohort  Advanced Regents,% of grads  Advanced Regents,# of grads  Advanced Regents,% of cohort  Regents w/o Advanced,% of grads  Regents w/o Advanced,# of grads  Regents w/o Advanced,% of cohort Local,% of grads Local,# Still Enrolled,% of cohort Still Enrolled,# Dropped Out,% of cohort Dropped Out
2001,4 Year  June,English Language Learner,10540,2791,26.5,992,9,35.5,315,3,11.3,677,6.4,24.3,1803,17.1,64.6,3895,37,3220,30.6
2001,5 Year  June,English Language Learner,10540,3920,37.2,1233,11.7,31.5,371,3.5,9.5,862,8.2,22,2701,25.6,68.9,1516,14.4,4193,39.8
2001,6 Year,English Language Learner,10540,4296,40.8,1291,12.2,30.1,380,3.6,8.8,911,8.6,21.2,3028,28.7,70.5,655,6.2,4598,43.6
2002,4 Year  June,English Language Learner,7454,1691,22.7,639,8.6,37.8,132,1.8,7.8,507,6.8,30,1062,14.2,62.8,3062,41.1,2330,31.3
2002,5 Year  June,English Language Learner,7454,2354,31.6,794,10.7,33.7,176,2.4,7.5,618,8.3,26.3,1578,21.2,67,1457,19.5,3041,40.8
2002,6 Year,English Language Learner,7454,2729,36.6,856,11.5,31.4,185,2.5,6.8,671,9,24.6,1891,25.4,69.3,697,9.4,3356,45
2003,4 Year  June,English Language Learner,8163,2052,25.1,909,11.1,44.3,290,3.6,14.1,619,7.6,30.2,1143,14,55.7,3360,41.2,2394,29.3
2003,5 Year  June,English Language Learner,8163,3105,38,1159,14.2,37.3,358,4.4,11.5,801,9.8,25.8,1946,23.8,62.7,1327,16.3,3111,38.1
2003,6 Year,English Language Learner,8041,3394,42.2,1216,15.1,35.8,363,4.5,10.7,853,10.6,25.1,2178,27.1,64.2,570,7.1,3361,41.8
2004,4 Year  June,English Language Learner,8486,3039,35.8,1504,17.7,49.5,487,5.7,16,1017,12,33.5,1535,18.1,50.5,3288,38.7,1840,21.7
2004,4 Year August,English Language Learner,8486,3404,40.1,1599,18.8,47,,,,,,,1809,21.3,53.1,2923,34.4,1840,21.7
2004,5 Year  June,English Language Learner,8320,4065,48.9,1799,21.6,44.3,558,6.7,13.7,1241,14.9,30.5,2266,27.2,55.7,1151,13.8,2389,28.7
2004,6 Year,English Language Learner,8306,4394,52.9,1873,22.5,42.6,568,6.8,12.9,1305,15.7,29.7,2521,30.4,57.4,619,7.5,2710,32.6
2005,4 Year  June,English Language Learner,8778,3481,39.7,1908,21.7,54.8,583,6.6,16.7,1325,15.1,38.1,1572,17.9,45.2,3060,34.9,1700,19.4
2005,4 Year August,English Language Learner,8778,3899,44.4,2015,23,51.7,594,6.8,15.2,1421,16.2,36.4,1883,21.5,48.3,2642,30.1,1700,19.4
2005,5 Year  June,English Language Learner,8743,4546,52,2232,25.5,49.1,642,7.3,14.1,1590,18.2,35,2314,26.5,50.9,1016,11.6,2531,28.9
2005,6 Year,English Language Learner,8673,4852,55.9,2304,26.6,47.5,647,7.5,13.3,1657,19.1,34.2,2548,29.4,52.5,454,5.2,2711,31.3
2006,4 Year  June,English Language Learner,9056,3755,41.5,2437,26.9,64.9,593,6.5,15.8,1844,20.4,49.1,1318,14.6,35.1,3002,33.1,1797,19.8
2006,4 Year August,English Language Learner,9056,4175,46.1,2573,28.4,61.6,608,6.7,14.6,1965,21.7,47.1,1602,17.7,38.4,2588,28.6,1791,19.8
2006,5 Year  June,English Language Learner,9158,4775,52.1,2783,30.4,58.3,633,6.9,13.3,2150,23.5,45,1992,21.8,41.7,1095,12,2575,28.1
2006,5 Year August,English Language Learner,9158,4878,53.3,2812,30.7,57.6,633,6.9,13,2179,23.8,44.7,2066,22.6,42.4,1005,11,2559,27.9
2006,6 Year,English Language Learner,8829,5069,57.4,2867,32.5,56.6,633,7.2,12.5,2234,25.3,44.1,2202,24.9,43.4,341,3.9,2740,31
2007,4 Year  June,English Language Learner,9444,3720,39.4,2765,29.3,74.3,562,6,15.1,2203,23.3,59.2,955,10.1,25.7,3407,36.1,1896,20.1
2007,4 Year August,English Language Learner,9444,4263,45.1,3013,31.9,70.7,575,6.1,13.5,2438,25.8,57.2,1250,13.2,29.3,2881,30.5,1883,19.9
2007,5 Year  June,English Language Learner,9156,4824,52.7,3241,35.4,67.2,591,6.5,12.3,2650,28.9,54.9,1583,17.3,32.8,873,9.5,2856,31.2
2007,5 Year August,English Language Learner,9156,4977,54.4,3302,36.1,66.3,592,6.5,11.9,2710,29.6,54.5,1675,18.3,33.7,755,8.2,2825,30.9
2007,6 Year,English Language Learner,9134,5124,56.1,3386,37.1,66.1,593,6.5,11.6,2793,30.6,54.5,1738,19,33.9,416,4.6,2958,32.4
2008,4 Year  June,English Language Learner,9174,3247,35.4,2933,32,90.3,615,6.7,18.9,2318,25.3,71.4,314,3.4,9.7,3715,40.5,1868,20.4
