sensor_ID,Longitude,Latitude,1a,2a,3a,4a,5a,6a,7a,8a,9a,10a,11a,12p,1p,2p,3p,4p,5p,6p,7p,8p,9p,10p,11p,12a
5879@1,-79.86152302,40.62539823,44,19,14,18,36,151,362,606,477,315,292,288,326,349,481,604,678,790,575,431,416,227,188,119
5970@1,-79.79640914,40.44504722,18,19,24,31,100,223,356,385,296,297,272,291,333,358,463,561,535,402,315,258,200,119,78,36
5957@1,-79.82097619,40.48762446,60,36,39,27,45,165,395,584,478,423,434,448,435,489,532,637,662,715,611,511,429,247,170,106
120@1,-79.70385879,40.44354849,27,7,14,9,35,119,365,550,539,421,354,458,504,465,508,640,698,731,471,390,278,146,111,56
26732@1,-80.11427254,40.38989858,19,14,7,10,9,33,113,232,220,173,174,177,188,202,195,247,309,348,324,264,181,140,87,54
27598@1,-80.03451208,40.4382557,45,40,28,42,58,270,734,918,838,505,422,450,540,589,767,815,84,988,697,523,321,312,193,122
3688@1,-80.27973494,40.51056686,52,42,15,21,30,76,248,479,549,419,406,439,463,551,612,682,717,628,406,369,326,281,174,127
6029@1,-79.81955655,40.36913222,5,1,-1,7,15,31,39,50,48,47,38,56,54,65,76,99,78,72,56,56,35,30,9,6
27849@1,-79.99862971,40.451181,12,14,26,19,18,46,138,263,284,113,99,119,124,93,110,127,117,138,116,98,74,57,47,24
5510@1,-80.16211738,40.38459789,1,-1,-1,-1,-1,1,1,3,2,4,2,1,11,6,4,3,5,14,9,13,11,2,1,1
27583@1,-80.02496363,40.40431042,6,9,13,16,19,53,128,177,133,149,136,125,153,186,202,272,227,222,144,105,97,81,49,33
27559@1,-79.96684881,40.42285581,21,4,5,12,13,61,262,385,294,215,207,210,284,331,509,556,618,600,593,385,254,123,80,63
18651@1,-79.85375139,40.33138892,-1,-1,-1,-1,-1,-1,5,7,15,5,18,24,11,8,15,16,15,17,13,13,13,5,2,3
10507@1,-79.90966117,40.30688925,87,38,24,18,48,143,356,389,344,278,318,339,348,374,356,491,561,541,432,357,322,248,174,132
27671@1,-79.86998432,40.39013548,5,1,3,2,7,17,33,72,48,54,41,33,53,60,51,90,89,65,60,46,47,40,16,10
27516@1,-79.89401217,40.5168524,3,5,-1,4,26,167,397,369,223,247,255,256,245,302,379,453,647,333,264,176,104,28,10,5
5983@1,-79.77959456,40.51363096,32,24,25,6,19,123,215,359,248,215,177,157,223,194,238,358,375,392,259,188,153,127,92,75
10553@1,-79.75936223,40.5012759,18,14,8,9,33,126,409,587,457,308,252,303,274,335,532,528,626,766,507,463,321,161,123,42
10595@1,-80.00432132,40.56929381,25,19,13,13,34,156,519,758,608,442,449,538,536,556,664,879,1,28,690,472,327,278,138,134
5297@1,-80.14311504,40.61505737,9,9,4,9,8,48,117,192,156,115,86,85,78,95,160,168,199,205,144,102,63,52,27,24
10466@2,-79.96025497,40.54817427,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,332.5,364,349.5,397,452,398.5,-1,-1,-1,-1,-1,-1
10466@1,-79.96016636,40.54809753,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,691,715,747,854.5,518.5,478.5,-1,-1,-1,-1,-1,-1
21550@1,-80.18751356,40.4424076,24,13,17,19,35,125,356,610,443,354,381,477,480,442,457,483,659,667,607,363,257,193,96,51
